class	dropped_lines	file	detail
MIXED-CLOBBER	3	src/tasks/task-flow-registry.audit.test.ts	?
GENUINE	0	src/tasks/task-flow-registry.store.sqlite.ts	-
GENUINE	0	src/tasks/task-flow-registry.test.ts	-
GENUINE	0	src/tasks/task-flow-registry.ts	-
GENUINE	0	src/tasks/task-flow-registry.types.ts	-
GENUINE	0	src/tasks/task-flow-runtime-internal.ts	-
GENUINE	0	src/tasks/task-registry.test.ts	-
MIXED-CLOBBER	1	test/helpers/agents/prompt-composition-scenarios.ts	?
MIXED-CLOBBER	2	test/scripts/ensure-playwright-chromium.test.ts	?
GENUINE	0	test/scripts/install-sh.test.ts	-
MIXED-CLOBBER	8	test/scripts/kitchen-sink-rpc-walk.test.ts	?
GENUINE	0	test/scripts/lint-suppressions.test.ts	-
GENUINE	0	test/scripts/package-mac-app.test.ts	-
GENUINE	0	test/setup-openclaw-runtime.ts	-
SAFE-NEW	0	test/setup.extension-active-memory.ts	-
MIXED-CLOBBER	1	test/vitest-scoped-config.test.ts	?
SAFE-NEW	0	test/vitest/hermetic-openclaw-env.ts	-
MIXED-CLOBBER	1	test/vitest/vitest.extension-active-memory.config.ts	?
MIXED-CLOBBER	1	test/vitest/vitest.test-shards.mjs	?
GENUINE	0	tsdown.config.ts	-
